ukrainian name,english name
Старий Самбір,Staryi Sambir
Старобешеве,Starobesheve
Старобешівський,Starobeshivskyi
Старобільськ,Starobilsk
Старобільський,Starobilskyi
Старовижівський,Starovyzhivskyi
Старокостянтинів,Starokostiantyniv
Старокостянтинівський,Starokostiantynivskyi
Старосамбірський,Starosambirskyi
Старосинявський,Starosyniavskyi
Сторожинець,Storozhynets
Сторожинецький,Storozhynetskyi
Стрий,Stryi
Стрийський,Stryiskyi
Суми,Sumy
Сумська,Sumska
Сумський,Sumskyi
Талалаївка,Talalaivka
Талалаївський,Talalaivskyi
Тальне,Talne
Тальнівський,Talnivskyi
Тараща,Tarashcha
Таращанський,Tarashchanskyi
Тарутине,Tarutyne
Тарутинський,Tarutynskyi
Татарбунари,Tatarbunary
Татарбунарський,Tatarbunarskyi
Тельманівський,Telmanivskyi
Тельманове,Telmanove
Теофіполь,Teofipol
Теофіпольський,Teofipolskyi
Теплик,Teplyk
Теплицький,Teplytskyi
Теребовля,Terebovlia
Теребовлянський,Terebovlianskyi
Тернопіль,Ternopil
Тернопільська,Ternopilska
Тернопільський,Ternopilskyi
Тетіїв,Tetiiv
Тетіївський,Tetiivskyi
Тиврів,Tyvriv
Тиврівський,Tyvrivskyi
Тисменицький,Tysmenytskyi
Тисмениця,Tysmenytsia
Тлумацький,Tlumatskyi
Тлумач,Tlumach
Токмак,Tokmak
Токмацький,Tokmatskyi
Томаківка,Tomakivka
Томаківський,Tomakivskyi
Томашпіль,Tomashpil
Томашпільський,Tomashpilskyi
Троїцьке,Troitske
Троїцький,Troitskyi
Тростянець,Trostianets
Тростянецький,Trostianetskyi
Тульчин,Tulchyn
Тульчинський,Tulchynskyi
Турійськ,Turiisk
Турійський,Turiiskyi
Турка,Turka
Турківський,Turkivskyi
Тячів,Tiachiv
Тячівський,Tiachivskyi
Ужгород,Uzhhorod
Ужгородський,Uzhhorodskyi
Ульяновка,Ulianovka
Ульяновський,Ulianovskyi
Уманський,Umanskyi
Умань,Uman
Устинівка,Ustynivka
Устинівський,Ustynivskyi
Фастів,Fastiv
Фастівський,Fastivskyi
Фрунзівка,Frunzivka
Фрунзівський,Frunzivskyi
Харків,Kharkiv
Харківська,Kharkivska
Харківський,Kharkivskyi
Херсон,Kherson
Херсонська,Khersonska
Хмельницька,Khmelnytska
Хмельницький,Khmelnytskyi
Хмільник,Khmilnyk
Хмільницький,Khmilnytskyi
Хорол,Khorol
Хорольський,Khorolskyi
Хотин,Khotyn
Хотинський,Khotynskyi
Христинівка,Khrystynivka
Христинівський,Khrystynivskyi
Хуст,Khust
Хустський,Khustskyi
Царичанка,Tsarychanka
Царичанський,Tsarychanskyi
Цюрупинськ,Tsiurupynsk
Цюрупинський,Tsiurupynskyi
Чаплинка,Chaplynka
Чаплинський,Chaplynskyi
Чемерівці,Chemerivtsi
Чемеровецький,Chemerovetskyi
Червоноармійськ,Chervonoarmiisk
Червоноармійський,Chervonoarmiiskyi
Черкаси,Cherkasy
Черкаська,Cherkaska
Черкаський,Cherkaskyi
Чернівецька,Chernivetska
Чернівецький,Chernivetskyi
Чернівці,Chernivtsi
Чернігів,Chernihiv
Чернігівка,Chernihivka
Чернігівська,Chernihivska
Чернігівський,Chernihivskyi
Черняхів,Cherniakhiv
Черняхівський,Cherniakhivskyi
Чечельник,Chechelnyk
Чечельницький,Chechelnytskyi
Чигирин,Chyhyryn
Чигиринський,Chyhyrynskyi
Чорнобаївський,Chornobaivskyi
Чорнобай,Chornobai
Чорноморське,Chornomorske
Чорноморський,Chornomorskyi
Чорнухи,Chornukhy
Чорнухинський,Chornukhynskyi
Чортків,Chortkiv
Чортківський,Chortkivskyi
Чугуїв,Chuhuiv
Чугуївський,Chuhuivskyi
Чуднів,Chudniv
Чуднівський,Chudnivskyi
