EDRPOU,eotype,eolevel,teachstuff,nonteachstuff,teachstuffretage,pupils,classes,opex,opexplan,hub,year
26223128,rural,I-III,22,11,3,146,11,4260.6,4641.3,no,2019
26223051,rural,I-III,22,14,5,115,11,4247.7,4241.6,no,2019
26223080,rural,I-III,30,16,4,140,11,4623.1,4822.7,no,2019
26223097,rural,I-III,23,14,5,167,11,5246.7,5253,no,2019
25502493,rural,I-III,24,14,3,132,11,4310.6,4738.8,no,2019
26223223,rural,I-III,17,13,1,71,11,3816.6,4085.8,no,2019
26220526,rural,I-III,20,13,4,138,11,5250.328,5367.489,no,2019
26220503,rural,I-III,19,13,5,55,7,3897.894,4349.735,no,2019
26227787,rural,I-III,24,13,3,172,11,4379.513,5052.002,no,2019
26227818,rural,I-III,27,12,2,233,13,5678.886,6818.101,no,2019
26222991,rural,I-III,21,13,0,141,11,5388.868,5740.684,no,2019
26222979,rural,I-III,19,10,2,141,11,4473.774,5247.436,no,2019
26220512,rural,I-III,18,16,5,85,11,4291.389,4997.71134,no,2019
26223022,rural,I-III,14,15,5,87,9,4267.123,4876.77,no,2019
26223016,rural,I-III,41,15,6,346,17,7449.467,8685.173,no,2019
26223007,rural,I-III,27,15,2,207,12,5761.331,6300.246,no,2019
26227793,rural,I-III,18,12,1,102,10,4438.54,4853.228,no,2019
26227770,rural,I-III,20,16,4,104,10,4467.745,4726.661,no,2019
26222985,rural,I-III,20,13,2,92,11,3744.214,4527.31,no,2019
26222962,rural,I-III,24,14,4,107,11,4119.728,5026.912,no,2019
21723553,rural,I-III,18,8,2,114,11,3582.4,3892.5,no,2019
21723990,urban,I-III,39,16,9,373,20,8184.4,8999,no,2019
21723458,rural,I-III,18,6,2,71,8,2712.1,3056.2,no,2019
21723228,rural,I-III,21,10,3,113,11,4032.7,4398.6,no,2019
21723501,rural,I-III,19,6,7,98,11,3224.6,3398.5,no,2019
21723470,rural,I-III,17,7,1,94,11,3434.3,3912.8,no,2019
21723487,rural,I-III,21,8,4,137,10,3897.4,4165.8,no,2019
21723530,rural,I-III,17,6,3,68,8,3402,3418.5,no,2019
21723338,rural,I-III,21,9,7,120,11,3861.6,4198.5,no,2019
21723688,rural,I-III,19,7,0,91,10,3552.3,3564.7,no,2019
21723671,rural,I-III,23,9,4,164,11,4505.2,4895.2,no,2019
26224139,rural,I-III,17,10,3,104,11,3226.5,3593.5,no,2019
26223861,rural,I-III,16,11,2,68,9,2888.6,3072.6,no,2019
26223996,rural,I-III,17,8,2,72,9,2829,2972.5,no,2019
26223772,urban,I-III,11,6,0,37,3,2067.3,1997.8,no,2019
26224027,rural,I-III,13,14,0,92,11,3520.3,3787.2,no,2019
26223795,rural,I-III,14,9,3,78,8,2926.9,3187.2,no,2019
26224145,rural,I-III,16,14,6,95,10,3718.9,4020.7,no,2019
26223813,rural,I-III,17,11,2,90,10,3100.5,3503.4,no,2019
26223803,rural,I-III,18,14,1,136,11,3738.5,4140.1,no,2019
43306032,rural,I-III,21,26,2,182,11,5659.5,5998.200000000001,no,2019
26223944,rural,I-III,21,11,2,87,10,3975,4383.6,no,2019
26223973,rural,I-III,11,12,0,50,7,2716,2898,no,2019
20087813,rural,I-III,103,52,14,576,43,16570,18692.7,yes,2019
26223759,rural,I-III,21,14,1,221,11,3812.1,4201.200000000001,no,2019
26224046,rural,I-III,13,9,1,60,7,2648.4,2848.7,no,2019
26224122,rural,I-III,18,15,2,90,8,3712,3404,no,2019
26223915,rural,I-III,15,10,0,56,7,2730.4,2906.4,no,2019
25918704,rural,I-III,21,11,3,166,11,3762.6,4140.3,no,2019
26224085,rural,I-III,8,6,1,34,4,1533.5,1675.3999999999999,no,2019
26242976,rural,I-III,23,10,6,152,11,3993.9,4281.5,no,2019
26242982,rural,I-III,21,16,2,146,11,5144.5,5482,no,2019
26242812,rural,I-III,17,7,5,64,7,3141.1,3523.8,no,2019
24897696,urban,I-III,25,14,4,218,12,5459.4,6091.6,yes,2019
26242930,rural,I-III,17,8,1,62,8,3498.4,3864.9,no,2019
26242918,rural,I-III,19,13,3,124,11,4309.1,4530.5,no,2019
26242901,rural,I-III,24,13,5,116,10,4330.9,4810.2,no,2019
26242798,urban,I-III,25,11,7,218,11,4402.1,4750.4,no,2019
21723984,rural,I-III,25,20,5,153,11,5710.7,6278.9,no,2019
26285709,rural,I-III,11,7,2,40,4,1995.6,2058.3,no,2019
26285655,rural,I-III,16,5,6,54,7,2497.4,2515.4,no,2019
26285684,rural,I-III,23,25,2,134,11,4823.9,4732.7,no,2019
26285614,rural,I-III,19,13,5,87,9,3554.4,3764.5,no,2019
26285744,rural,I-III,30,23,5,300,15,6080.1,6503.816,no,2019
26285678,rural,I-III,20,18,0,83,11,3990.8,4339.9,no,2019
26285661,rural,I-III,17,11,5,88,10,3185,3168.5,no,2019
26285750,urban,I-III,36,25,17,389,20,8032.6,8292.604,no,2019
26285649,urban,I-III,22,17,5,242,12,5028.8,5364.1,no,2019
20098886,urban,I-III,38,20,7,191,12,5843.727,6259.091,no,2019
26229042,rural,I-III,20,15,3,96,10,3841.778,4304.165,no,2019
20098567,rural,I-III,22,14,2,101,11,4070.429,4597.428,no,2019
60043961,rural,I-III,31,27,10,200,12,6349.434,7446.61,yes,2019
13330288,rural,I-III,27,14,4,115,11,3726.903,4088.894,no,2019
26228976,rural,I-III,28,16,7,218,12,5524.154,6068.617,no,2019
37337995,urban,I-III,36,32,3,355,18,8742.995,9726.958,no,2019
26229059,rural,I-III,23,15,2,108,11,3884.02,4297.457,no,2019
20099029,rural,I-III,38,20,12,303,14,6157.663,7416.55,no,2019
13326335,rural,I-III,32,18,2,293,16,6182.315,7311.47,no,2019
13325353,urban,I-III,49,19,13,598,25,10775.866,12679.636,no,2019
26229065,rural,I-III,27,16,3,132,11,4390.448,4894.452,no,2019
20098604,rural,I-III,40,21,7,434,21,9565.06,9538.53,no,2019
25888794,rural,I-III,24,18,4,144,11,4524.987,5275.382,no,2019
13330360,rural,I-III,19,15,3,113,11,4023.568,4351.886,no,2019
21723903,rural,I-III,22,25,3,141,11,4860.589,5812.934,no,2019
26228999,rural,I-III,21,16,5,104,11,3943.004,4345.353,no,2019
26228982,rural,I-III,22,15,5,177,11,4800.063,5423.906,no,2019
13339409,rural,I-III,25,19,2,203,12,5169.842,6062.175,no,2019
26229013,rural,I-III,23,15,5,211,11,5034.964,5557.538,no,2019
26229007,rural,I-III,21,15,5,93,11,3723.791,4200.135,no,2019
26228864,rural,I-III,22,12,0,78,9,3843.413,4125.364,no,2019
13326648,urban,I-III,70,35,12,551,32,14329.199,16951.6,yes,2019
13323785,rural,I-III,62,47,18,374,29,11414.4,15036.8,yes,2019
13325904,rural,I-III,68,59,8,478,35,12969.02,16874.3,yes,2019
