eoname,KOATUU_2020,id,Код ЄДРПОУ,url,title_opendatabot
Бочманівський заклад загальної середньої освіти I-III ступенів Подільського району Одеської області,5122983808,бочманвськийзакладзагальносередньоосвти3ступенвподльськогорайонуодеськообласт,,https://opendatabot.ua/c/24774172,"Бочманівський ""ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ І-ІІI СТУПЕНІВ"" КУЯЛЬНИЦЬКОЇ СІЛЬСЬКОЇ РАДИ ПОДІЛЬСЬКОГО РАЙОНУ ОДЕСЬКОЇ ОБЛАСТІ Код ЄДРПОУ 24774172 — Опендатабот"
Калаглійська загальноовітня школа I-III ступенів Овідіопольського району Одеської області,5123781701,калаглйськазагальноовтняшкола3ступенвовдопольськогорайонуодеськообласт,,https://opendatabot.ua/c/26111010,Калаглійський заклад загальної середньої освіти овідіопольської селищної ради одеського району одеської області Код ЄДРПОУ 26111010 — Опендатабот
Загальноосвітня школа № 8 I-III ступенів міста Ізмаїл Одеської області,5110600000,загальноосвтняшкола№83ступенвмстазмалодеськообласт,,https://opendatabot.ua/c/24772948,Ізмаїльська гімназія № 8 з початковою школою ізмаїльського району одеської області Код ЄДРПОУ 24772948 — Опендатабот
Вараська загальноосвітня школа І-ІІІ ступенів №5 Вараської міської ради Рівненської області,5610700000,вараськазагальноосвтняшкола3ступенв№5вараськомськорадирвненськообласт,,https://opendatabot.ua/c/33351492,Вараський ліцей №5 вараської міської територіальної громади рівненської області Код ЄДРПОУ 33351492 — Опендатабот
Новоайдарський професійний аграрний ліцей,4423155100,новоайдарськийпрофесйнийаграрнийлцей,,https://opendatabot.ua/c/05536047,Новоайдарський професійний аграрний ліцей Код ЄДРПОУ 05536047 — Опендатабот
Новоселівська загальноосвітня школа І-ІІІ ступенів Української сільської ради Петропавлівського району Дніпропетровської області,1223886001,новоселвськазагальноосвтняшкола3ступенвукранськосльськорадипетропавлвськогорайонуднпропетровськообласт,,https://opendatabot.ua/c/23545297,Новоселівська гімназія новоселівської сільської ради полтавського району полтавської області Код ЄДРПОУ 23545297 — Опендатабот
Криворізька загальноосвітня школа І-ІІІ ступенів № 26 Криворізької міської ради Дніпропетровської області,1211036300,криворзьказагальноосвтняшкола3ступенв№26криворзькомськорадиднпропетровськообласт,,https://opendatabot.ua/c/33355449,Криворізька загальноосвітня школа і-ііі ступенів №31 криворізької міської ради дніпропетровської області Код ЄДРПОУ 33355449 — Опендатабот
"Кустинський навчально-виховний комплекс ""загальноосвітній навчальний заклад І-ІІІ ступенів-дошкільний навчальний заклад"" Рівненської районної ради Рівненської області",5624680406,кустинськийнавчальновиховнийкомплексзагальноосвтнйнавчальнийзаклад3ступенвдошкльнийнавчальнийзакладрвненськорайонорадирвненськообласт,,https://opendatabot.ua/c/25316744,Кустинський ліцей олександрійської сільської ради рівненського району рівненської області Код ЄДРПОУ 25316744 — Опендатабот
Погірцівська середня загальноосвітня школа І-ІІІ ступенів,4624286601,погрцвськасереднязагальноосвтняшкола3ступенв,,https://opendatabot.ua/c/22377646,Погірцівська середня загальноосвітня школа і-ііі ступенів самбірського району львівської області Код ЄДРПОУ 22377646 — Опендатабот
Мар'янівська загальноосвітня школа І-ІІІ ступенів Васильківського району Київської області,3221485401,марянвськазагальноосвтняшкола3ступенввасильквськогорайонукивськообласт,,https://opendatabot.ua/c/25300192,Мар'янівський ліцей ковалівської сільської ради білоцерківського району київської області Код ЄДРПОУ 25300192 — Опендатабот
Цибулівський заклад загальної середньої освіти І-ІІІ ступенів Монастирищенської районної ради Черкаської області,7123455500,цибулвськийзакладзагальносередньоосвти3ступенвмонастирищенськорайонорадичеркаськообласт,,https://opendatabot.ua/c/24415774,"Опорний заклад ""ЦИБУЛІВСЬКИЙ ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ І-ІІІ СТУПЕНІВ"" МОНАСТИРИЩЕНСЬКОЇ МІСЬКОЇ РАДИ ЧЕРКАСЬКОЇ ОБЛАСТІ Код ЄДРПОУ 24415774 — Опендатабот"
"Деньгівський навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Золотоніської районної ради Черкаської області",7121583101,деньгвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступенвдошкльнийнавчальнийзакладзолотонськорайонорадичеркаськообласт,,https://opendatabot.ua/c/21389195,"Богуславецький навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" ім. М.О.Максимовича Вознесенської сільської ради Золотоніського району Черкаської області Код ЄДРПОУ 21389195 — Опендатабот"
Вище професійне училище №7 м. Калуша,2610400000,вищепрофесйнеучилище№7мкалуша,,https://opendatabot.ua/c/02544201,Вище професійне училище №7 м.калуша Код ЄДРПОУ 02544201 — Опендатабот
