eoname,link,edrpou
Загальноосвітня школа I-III ступенів №1 Димитровської міської ради Донецької області,https://opendatabot.ua/c/25689401,25689401
Бродівська загальноосвітня школа І-ІІІ ступенів №3 Бродівської районної ради Львівської області,https://opendatabot.ua/c/25561780,25561780
Мирненська загальноосвітня школа I-III ступенів Мелітопольської районної ради Запорізької області,https://opendatabot.ua/c/26372992,26372992
Киківська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/06669773,6669773
Бродівська загальноосвітня школа І-ІІІ ступенів №4 Бродівської районної ради Львівської області,https://opendatabot.ua/c/22413317,22413317
"Державний ліцей-інтернат з посиленою військово-фізичною підготовкою ""Кадетський корпус"" імені І.Г. Харитоненка",https://opendatabot.ua/c/38245193,38245193
"Комунальний заклад ""Навчально-виховний комплекс ""Спеціалізована школа І ступеня з поглибленим вивченням української мови - гімназія № 39 імені гетьмана України Богдана Хмельницького Деснянського району м. Києва",https://opendatabot.ua/c/03874573,3874573
Львівська загальноосвітня школа І - ІІІ ступенів Бериславської районної ради Херсонської області,https://opendatabot.ua/c/24953325,24953325
"Комунальний заклад освіти ""Середня загальноосвітня школа № 17"" Дніпропетровської міської ради",https://opendatabot.ua/c/26463022,26463022
"Комунальний заклад освіти ""Спеціалізована школа № 115"" Дніпропетровської міської ради",https://opendatabot.ua/c/24447562,24447562
Пустомитівська загальноосвітня школа №1 І-ІІІ ступеня Пустомитівського району Львівської області,https://opendatabot.ua/c/22373428,22373428
"Комунальний заклад ""Педагогічний ліцей"" Кіровоградської міської ради Кіровоградської області",https://opendatabot.ua/c/31703795,31703795
"Комунальний навчальний заклад ""Веселівська загальноосвітня школа І-ІІІ ступенів"" Криворізької районної ради Дніпропетровської області",https://opendatabot.ua/c/19146551,19146551
"Ветеринарний навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний заклад""Дергачівської районної ради Харківської області",https://opendatabot.ua/c/23453135,23453135
Середня загальноосвітня школа І-ІІІ ступенів №51 ім. Івана Франка з поглибленим вивченням англійської мови м. Львова,https://opendatabot.ua/c/20834368,20834368
Миколаївська загальноосвітня школа I-III ступенів №4 імені Молчанова Б.І.,https://opendatabot.ua/c/24780333,24780333
"Комунальний заклад освіти ""Вечірня (змінна) середня загальноосвітня школа №11"" Дніпропетровської міської ради",https://opendatabot.ua/c/26508724,26508724
Росільнянська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області,https://opendatabot.ua/c/23806102,23806102
"Комунальний заклад ""Середня загальноосвітня школа №8 м.Орджонікідзе Дніпропетровської області""",https://opendatabot.ua/c/26462502,26462502
Старокривотульська загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області,https://opendatabot.ua/c/20562823,20562823
Вознесенська гімназія №1 Вознесенської міської ради Миколаївської області,https://opendatabot.ua/c/20907860,20907860
Загальноосвітня школа-інтернат I-III ступенів смт.Сутиски,https://opendatabot.ua/c/21729076,21729076
Залісецька загальноосвітня школа І-ІІІ ступенів Залісецької сільської ради Збаразького району Тернопільської області,https://opendatabot.ua/c/23593178,23593178
Штормівська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/24402269,24402269
Бугруватська загальноосвітня школа I-III ступенів Охтирської районної ради Сумської області,https://opendatabot.ua/c/23053401,23053401
"Комунальний заклад ""Середня загальноосвітня школа №4 м.Орджонікідзе Дніпропетровської області""",https://opendatabot.ua/c/26462465,26462465
Ліснотарновицький навчально-виховний комплекс Надвірнянської районної ради,https://opendatabot.ua/c/23802162,23802162
"Харківський приватний навчально-виховний комплекс ""Вересень"" Харківської області",https://opendatabot.ua/c/24479220,24479220
Нововодолазька гімназія Нововодолазької районної ради Харківської області,https://opendatabot.ua/c/22683712,22683712
Золочівська загальноосвітня школа І-ІІІ ступенів №2 ім. Маркіяна Шашкевича Золочівської районної ради Львівської області,https://opendatabot.ua/c/22330608,22330608
"Комунальний заклад освіти ""Середня загальноосвітня школа № 42"" Дніпропетровської міської ради",https://opendatabot.ua/c/26462399,26462399
Ставецька загальноосвітня школа І - ІІІ ступенів,https://opendatabot.ua/c/22066778,22066778
"Комунальний заклад ""Середня загальноосвітня школа №6 м.Орджонікідзе Дніпропетровської області""",https://opendatabot.ua/c/26462494,26462494
Зачепилівський ліцей Зачепилівської районної ради Харківської області,https://opendatabot.ua/c/24270342,24270342
"Голицький навчально-виховний комплекс ""Загальноосвітня школа I-III ступенів-дошкільний навчальний заклад"" Болградської районної ради",https://opendatabot.ua/c/26167128,26167128
Глибоцька загальноосвітня школа І-ІІІ ступенів Глибоцької селищної ради Глибоцького району Чернівецької області,https://opendatabot.ua/c/21435914,21435914
Чернігівська загальноосвітня школа-інтернат I-III ступенів ім. Ю. М. Коцюбинського Чернігівської обласної ради,https://opendatabot.ua/c/05266346,5266346
Цукуринська загальноосвітня школа I-III ступенів № 26 Селидівської міської ради Донецької області,https://opendatabot.ua/c/21984166,21984166
Немовицька загальноосвітня школа І-ІІІ ступенів Сарненської районної ради Рівненської області,https://opendatabot.ua/c/22558918,22558918
