eoname,KOATUU_2020,KOATUU_2020_reg,year,id,EDRPOU,to_change
Житомирська установа виконання покарань управління Державного департаменту України з питань виконання покарань у Житомирській області (№8),1810136600,18,"[2016, 2022]",житомирськаустановавиконаняпокараньуправлнядержавногодепартаментуукранизпитаньвиконаняпокараньужитомирськйобл,08563369,
Іллінецька загальноосвітня школа I-III ступенів №1 Іллінецької міської ради Вінницької області,0521210100,05,"[2017, 2018, 2019, 2020, 2021, 2022]",ллнецьказагальноосвтняшкола3ступ1ллнецькавницькаобл,13307208,
Іллінецька загальноосвітня школа I-III ступенів №1 Іллінецької районної ради,0521210100,05,[2016],ллнецьказагальноосвтняшкола3ступ1ллнецькао,13307208,
Іллінецький ліцей №1 Іллінецької міської ради Вінницької області,0521210100,05,[2023],ллнецькийлцей1ллнецькавницькаобл,13307208,
Іллінецька загальноосвітня школа I-III ступенів Іллінецької міської ради,0521282603,05,[2022],ллнецьказагальноосвтняшкола3ступллнецькао,13307208,26241735
Іллінецька загальноосвітня школа I-III ступенів Іллінецької районної ради,0521282603,05,"[2016, 2017, 2018, 2019, 2020, 2021]",ллнецьказагальноосвтняшкола3ступллнецькао,13307208,26241735
"Володимир-Волинська спеціалізована школа-інтернат І-ІІІ ступенів ""Центр освіти та соціально-педагогічної підтримки""",0710200000,07,"[2016, 2017, 2018]",володимирволинськаспецалзованашколантернат3ступцентросвтитасоцальнопедагогчнапдтримк,13353993,
"Володимир-Волинський ліцей ""Центр освіти"" Волинської обласної ради",0710200000,07,"[2019, 2020, 2021, 2022, 2023]",володимирволинськийлцейцентросвтиволинськаобласно,13353993,
"Філія ""Сенкевичівська"" Володимир-Волинського ліцею ""Центр освіти"" Волинської обласної ради",0720855700,07,"[2019, 2021]",флясенкевичвськаволодимирволинськоголцеюцентросвтиволинськаобласно,13353993,
Литвинівська загальноосвітня школа І-ІІІ ступенів Вишгородського району Київської області,3221884401,32,"[2016, 2017]",литвинвськазагальноосвтняшкола3ступкивськаобл,13736702,
Литвинівська загальноосвітня школа І-ІІІ ступенів Вишгородської районної ради Київської області,3221884401,32,"[2018, 2019, 2020]",литвинвськазагальноосвтняшкола3ступвишгородськакивськаобл,13736702,
Литвинівська загальноосвітня школа І-ІІІ ступенів Димерської селищної ради Вишгородського району Київської області,3221884401,32,"[2021, 2022]",литвинвськазагальноосвтняшкола3ступдимерськакивськаобл,13736702,
Литвинівський ліцей Димерської селищної ради,3221884401,32,[2023],литвинвськийлцейдимерськао,13736702,
Литвинівська загальноосвітня школа І-ІІІ ступенів,6124883501,61,"[2016, 2017, 2018, 2019]",литвинвськазагальноосвтняшкола3ступен,13736702,21163539
"Комунальний заклад ""Центральноукраїнський науковий ліцей-інтернат Кіровоградської обласної ради""",3510136300,35,[2020],центральноукранськийнауковийлцейнтернаткровоградськаобласно,13763076,
Кіровоградський обласний навчально-виховний комплекс (гімназія-інтернат-школа мистецтв),3510136300,35,"[2017, 2018, 2019]",кровоградськийобласнийнавчальновиховнийкомплек,13763076,
"Комунальний заклад ""Центральноукраїнський науковий ліцей-інтернат Кіровоградської обласної ради""",3510136600,35,"[2021, 2022, 2023]",центральноукранськийнауковийлцейнтернаткровоградськаобласно,13763076,
"Комунальний заклад ""Центральноукраїнський науковий ліцей-інтернат Кіровоградської обласної ради"" м.Олександрія",3510300000,35,"[2021, 2022, 2023]",центральноукранськийнауковийлцейнтернаткровоградськаобласнамолександр,13763076,
"Кіровоградський обласний навчално-виховний комплекс ""гімназія-інтернат-школа мистецтв) м.Олександрії",3510300000,35,[2016],кровоградськийобласнийнавчалновиховнийкомплексгмназянтернатшколамистецтвмолександр,13763076,
Кіровоградський обласний навчально-виховний комплекс (гімназія-інтернат-школа мистецтв) м.Олександрії,3510300000,35,"[2017, 2018, 2019]",кровоградськийобласнийнавчальновиховнийкомплексмолександр,13763076,
"Центральноукраїнський науковий ліцей-інтернат, м.Олександрія",3510300000,35,[2020],центральноукранськийнауковийлцейнтернатмолександр,13763076,
