eoname,KOATUU_2020,KOATUU_2020_reg,year,id,EDRPOU
Лозівський ліцей Шаргородської міської ради Жмеринського району Вінницької області,0525384801,05,[2023],лозвськийлцейшаргородськавницькаобл,26229042
РАХНІВСЬКО-ЛІСОВИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС “СЕРЕДНЯ ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІІ СТУПЕНІВ - ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД”,0525386901,05,"[2018, 2019]",рахнвськолсовийнавчальновиховнийкомплекссереднязагальноосвтняшкола2ступдошкльнийнавчальнийзаклад,20098604
Рахнівсько-Лісова середня загальноосвітня школа I-III ступенів Шаргородського району Вінницької області,0525386901,05,"[2020, 2021]",рахнвськолсовасереднязагальноосвтняшкола2ступвницькаобл,20098604
Рахнівсько-Лісова середня загальноосвітня школа I-III ступенів Шпиківської селищної ради Вінницької області,0525386901,05,[2022],рахнвськолсовасереднязагальноосвтняшкола2ступшпиквськавницькаобл,20098604
"Рахнівсько-Лісова середня загальноосвітня школа I-III ступенів №1, Шаргородського району, Вінницької області",0525386901,05,"[2016, 2017]",рахнвськолсовасереднязагальноосвтняшкола2ступ1вницькаобл,20098604
"Рахнівсько-Лісова середня загальноосвітня школа I-III ступенів, Шаргородського району, Вінницької області",0525386901,05,"[2018, 2019]",рахнвськолсовасереднязагальноосвтняшкола2ступвницькаобл,20098604
Рахнівсько-Лісовий ліцей Шпиківської селищної ради Тульчинського району Вінницької області,0525386901,05,[2023],рахнвськолсовийлцейшпиквськавницькаобл,20098604
"Луцька філія Вищого приватного навчального закладу Львівський медичний фаховий коледж ""Монада""",0710100000,07,[2023],луцькафлявищогоприватногонавчальногозакладульввськиймедичнийколеджмонад,13797632
"Володимир-Волинська спеціалізована школа-інтернат І-ІІІ ступенів ""Центр освіти та соціально-педагогічної підтримки""",0710200000,07,"[2016, 2017, 2018]",володимирволинськаспецалзованашколантернат2ступцентросвтитасоцальнопедагогчнапдтримк,13353993
"Володимир-Волинський ліцей ""Центр освіти"" Волинської обласної ради",0710200000,07,"[2019, 2020, 2021, 2022, 2023]",володимирволинськийлцейцентросвтиволинськаобласно,13353993
Загальноосвітня школа І-ІІІ ступеня села Бубнів Володимир-Волинського району Волинської області,0720582006,07,"[2016, 2017]",загальноосвтняшкола2ступсбубнвволинськаобл,23019551
"Філія ""Сенкевичівська"" Володимир-Волинського ліцею ""Центр освіти"" Волинської обласної ради",0720855700,07,"[2019, 2021]",флясенкевичвськаволодимирволинськоголцеюцентросвтиволинськаобласно,13353993
Загальноосвітня школа І-ІІІ ступеня с. Конюхи Локачинського району Волинської області,0722483901,07,"[2016, 2017, 2018, 2019, 2020, 2021]",загальноосвтняшкола2ступсконюхиволинськаобл,23019605
Конюхівський ліцей Локачинської селищної ради Володимир-Волинського району Волинської області,0722483901,07,"[2022, 2023]",конюхвськийлцейлокачинськаволинськаобл,23019605
Бубнівський ліцей Локачинської селищної ради Володимир-Волинського району Волинської області,0722484604,07,[2023],бубнвськийлцейлокачинськаволинськаобл,23019551
Загальноосвітня школа І-ІІІ ступеня с. Бубнів Локачинського району Волинської області,0722484604,07,"[2016, 2017, 2018, 2019, 2020]",загальноосвтняшкола2ступсбубнвволинськаобл,23019551
Загальноосвітня школа І-ІІІ ступеня с. Копачівка Рожищенського району Волинської області,0724582901,07,"[2016, 2018]",загальноосвтняшкола2ступскопачвкаволинськаобл,20140565
"КОМУНАЛЬНИЙ ЗАКЛАД ""ОПОРНИЙ ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ І-ІІІ СТУПЕНЯ СЕЛА КОПАЧІВКА"" КОПАЧІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ВОЛИНСЬКОЇ ОБЛАСТІ",0724582901,07,[2021],опорнийзакладзагальнасередньаосвти2ступскопачвкакопачвськаволинськаобл,20140565
"Комунальний заклад ""Опорний заклад загальної середньої освіти І-ІІІ ступеня села Копачівка"" Копачівської сільської ради Волинської області",0724582901,07,[2020],опорнийзакладзагальнасередньаосвти2ступскопачвкакопачвськаволинськаобл,20140565
"Опорний заклад загальної середньої освіти ""Ліцей села Копачівка"" Копачівської сільської ради Луцького району Волинської області",0724582901,07,"[2022, 2023]",опорнийзакладзагальнасередньаосвтилцейскопачвкакопачвськаволинськаобл,20140565
"Державний професійно-технічний навчальний заклад ""Дніпровський регіональний центр професійно-технічної освіти""",1210136600,12,"[2019, 2020, 2021, 2022, 2023]",державнийпрофесйнотехнчнийнавчальнийзакладднпровськийрегональнийцентрпрофесйнотехнчнаосвт,05536076
Дніпропетровський регіональний центр професійно-технічної освіти (корпус №1),1210136600,12,[2018],днпропетровськийрегональнийцентрпрофесйнотехнчнаосвт,05536076
КОМУНАЛЬНИЙ ЗАКЛАД “ДНІПРОПЕТРОВСЬКИЙ ФАХОВИЙ КОЛЕДЖ СПОРТУ” ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ РАДИ”,1210136600,12,[2023],днпропетровськийколеджспорту”днпропетровськаобласна,04544524
"Комунальний заклад ""Дніпропетровський фаховий коледж спорту"" Дніпропетровської обласної ради",1210136600,12,[2021],днпропетровськийколеджспортуднпропетровськаобласно,04544524
"Комунальний заклад ""Дніпропетровський фаховий коледж спорту"" Дніпропетровської обласної ради""",1210136600,12,"[2022, 2023]",днпропетровськийколеджспортуднпропетровськаобласно,04544524
"Комунальний заклад ""Дніпропетровський фаховий коледж спорту"" Дніпропетровської областної ради",1210136600,12,[2020],днпропетровськийколеджспортуднпропетровськаоблно,04544524
"Комунальний спеціалізований навчальний заклад спортивного профілю""Дніпропетровське вище училище фізичної культури"" Дніпропетровської обласної ради""",1210136600,12,"[2016, 2017, 2018, 2019]",комунальнийспецалзованийнавчальнийзакладспортивногопрофлюднпропетровськевищеучилищефзичнакультуриднпропетровськаобласно,04544524
"Товариство з обмеженою відповідальністю ""Приватна середня загальноосвітня школа №5""",1210136600,12,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",приватнасереднязагальноосвтняшкола5,24985012
"Державний професійно-технічний навчальний заклад ""Дніпровський центр професійно-технічної освіти (відділення зв'язку)""",1210136900,12,"[2019, 2020, 2021]",державнийпрофесйнотехнчнийнавчальнийзакладднпровськийцентрпрофесйнотехнчнаосвт,02541409
