eoname,url
Відділ освіти Берегівської районної державної адміністрації Закарпатської області,
Відділ освіти Калуської районної державної адміністрації,
Відділ освіти виконкому Довгинцевської районної в місті Кривому Розі ради,
Відділ освіти Оратівської районної державної адміністрації,
Відділ освіти Ківерцівської районної державної адміністрації,
Відділ освіти Зарічненської районної державної адміністрації,
Відділ освіти Бахмацької районної державної адміністрації,
"Відділ освіти, молоді та спорту Ренійської районної державної адміністрації
",
Відділ освіти Житомирської районної державної адміністрації,
"Управління освіти, молоді та спорту Роменської районної державної адміністрації",
Відділ освіти Рівненської районної державної адміністрації,https://opendatabot.ua/c/02145790
"Управління освіти, молоді та спорту Ярмолинецької районної державної адміністрації",https://opendatabot.ua/c/38283270
Відділ освіти Кобеляцької райдержадміністрації,https://opendatabot.ua/c/02145524
Відділ освіти виконкому Саксаганської районної у місті Кривому Розі ради,https://opendatabot.ua/c/02124781
"Відділ освіти, сім'ї, молоді та спорту Магдалинівської райдержадміністрації Дніпропетровської області",https://opendatabot.ua/c/02142454
"Відділ освіти,молоді і спорту Баштанської районної державної адміністрації",https://opendatabot.ua/c/02144849
Відділ освіти Катеринопільської райдержадміністрації,https://opendatabot.ua/c/02147138
Відділ освіти Радивилівської районної державної адміністрації,https://opendatabot.ua/c/02145872
Відділ освіти Софіївської районної державної адміністрації,https://opendatabot.ua/c/02142554
Департамент освіти і науки Київської обласної державної адміністрації,https://opendatabot.ua/c/02143614
Відділ освіти Миколаївської районної державної адміністрації Львівської області,
Відділ освіти Ічнянської районної державної адміністрації,
Управління освіти і науки Дніпродзержинської міської ради,
Департамент освіти і науки Запорізької облдержадміністрації,
"Управління освіти, молоді та спорту Володимирецької райдержадміністрації",
Відділ освіти Перемишлянської районної державної адміністрації Львівської області,
Відділ освіти Черкаської райдержадміністрації,
Відділ освіти Рокитнівської райдержадміністрації,
Відділ освіти Золочівської районної державної адміністрації Львівської області,
Відділ освіти Міжгірської районної державної адміністрації,
Відділ освіти Великописарівської райдержадміністрації,
Управління освіти Солом'янської районної у м. Києві ради (Солом'янської районної у м. Києві державної адміністрації),
Відділ освіти Барвінківської районної державної адміністрації,
Відділ освіти Деражнянської районної державної адміністрації,
Відділ освіти Ніжинської районної державної адміністрації,https://opendatabot.ua/c/02147475
Відділ освіти Авдіївської міської ради Донецької області,https://opendatabot.ua/c/24803577
Відділ освіти Ізмаїльської районної державної адміністрації,https://opendatabot.ua/c/02145168
"Вільнянський відділ освіти, молоді та спорту Вільнянської районної державної адміністрації Запорізької області",https://opendatabot.ua/c/02136229
Відділ освіти виконавчого комітету Бердянської міської ради Запорізької області,https://opendatabot.ua/c/02136324
Відділ освіти виконавчого комітету Коростенської міської ради,https://opendatabot.ua/c/02143212
Відділ освіти виконкому Лебединської міської ради,https://opendatabot.ua/c/22594129
Відділ освіти Сихівського району управління освіти департаменту гуманітарної політики Львівської міської ради,https://opendatabot.ua/c/26056630
Відділ освіти Камінь-Каширської районної державної адміністрації,https://opendatabot.ua/c/02141762
Управління освіти Кіровоградської міської ради,https://opendatabot.ua/c/02143979
Управління освіти Оболонської районної в м. Києві державної адміністрації,
Відділ освіти Красноокнянської районної державної адміністрації,
Відділ освіти Токмацької міської ради Запорізької області,
Управління освіти Первомайської міської ради Миколаївської області,
Відділ освіти Ладижинської міської ради,
Відділ освіти Овруцької районної державної адміністрації,
Відділ освіти Приазовської районної державної адміністрації,
Відділ освіти Кам'янської райдержадміністрації,
Відділ освіти Драбівської райдержадміністрації,
Відділ освіти Ковельської районної державної адміністрації Волинської області,
Відділ освіти Сквирської райдержадміністріції,
Департамент освіти та науки Одеської міської ради,
Відділ освіти Залізничного району управління освіти департаменту гуманітарної політики Львівської міської ради,
Управління освіти і науки Ірпінської міської ради Київської області,
Відділ освіти Комсомольської міської ради Полтавської області,https://opendatabot.ua/c/44133660
Відділ освіти Сумської райдержадміністрації,
Відділ освіти Мар'їнської районної державної адміністрації Донецької області,
Відділ освіти Макарівської райдержадміністрації,
Управління освіти Маріупольської міської ради Донецької області,
Відділ освіти Личаківського району управління освіти департаменту гуманітарної політики Львівської міської ради,
Відділ освіти Новогродівської міської ради Донецької області,
Управління освіти адміністрації Комінтернівського району Харківської міської ради,
Відділ освіти Корюківської районної державної адміністрації,
Відділ освіти Бабушкінської районної у місті Дніпропетровську ради,
Відділ освіти Бориспільської райдержадміністрації,
"Управління освіти, молоді та спорту Богородчанської райдержадміністрації",
Відділ освіти Харківської районної державної адміністрації,
Відділ освіти Кам'янка-Бузької районної державної адміністрації Львівської області,
Відділ освіти Вознесенської районної державної адміністрації Миколаївськой райдержадміністрації,
Відділ освіти Добропільської міської ради Донецької області,https://opendatabot.ua/c/02142833
Відділ освіти Самарської районної у місті Дніпропетровську ради,https://opendatabot.ua/c/02124769
Управління освіти адміністрації Ленінського району Харківської міської ради,https://opendatabot.ua/c/02146280
"Відділ освіти, молоді та спорту Лугинської районної державної адміністрації",https://opendatabot.ua/c/43502754
Відділ освіти Сєвєродонецької міської ради,https://opendatabot.ua/c/26204220
Відділ освіти Полтавської райдержадміністрації,https://opendatabot.ua/c/02145642
Відділ освіти Костопільської районної державної адміністрації,https://opendatabot.ua/c/02145866
Відділ освіти Сахновщинської районної державної адміністрації,https://opendatabot.ua/c/02146185
Відділ освіти Амур-Нижньодніпровської районної у місті Дніпропетровську ради,https://opendatabot.ua/c/02142187
Управління освіти Глибоцької районної державної адміністрації,https://opendatabot.ua/c/02147300
"Відділ освіти, молоді та спорту Теофіпольської районної державної адміністрації",
"Управління освіти і науки департаменту освіти і науки, молоді та спорту Запорізької міської ради",
Відділ освіти Носівської районної державної адміністрації,
Відділ освіти Арцизької районної державної адміністрації,
Відділ освіти Бобровицької районної державної адміністрації,
"Управління освіти, молоді та спорту Рахівської районної державної адміністрації",
Відділ освіти Горохівської районної державної адміністрації,
Відділ освіти Дрогобицької районної державної адміністрації,
Відділ освіти Бучанської міської ради,
Відділ освіти Канівського міськвиконкому,
Відділ освіти Білокуракинської районної державної адміністрації,
Відділ освіти Талалаївської районної державної адміністрації,
Відділ освіти Іршавської районної державної адміністрації,
"Відділ освіти, молоді та спорту Пирятинської райдержадміністрації
",
"Управління освіти, молоді та спорту Хотинської районної державної адміністрації",https://opendatabot.ua/c/39967708
Управління освіти Вознесенської міської ради,https://opendatabot.ua/c/05410079
Відділ освіти Семенівської районної державної адміністрації,https://opendatabot.ua/c/02147523
Управління освіти Костянтинівської міської ради Донецької області,https://opendatabot.ua/c/02142879
"Управління освіти, молоді та спорту Долинської районної державної адміністрації",https://opendatabot.ua/c/02143519
Управління освіти Южноукраїнської міської ради,https://opendatabot.ua/c/04653220
Відділ освіти Збаразької районної державної адміністрації,https://opendatabot.ua/c/40428935
Відділ освіти Березівської районної державної адміністрації,https://opendatabot.ua/c/02145103
Відділ освіти виконкому Тернівської районної у місті Кривому Розі ради,
Відділ освіти Куйбишевської районної державної адміністрації Запорізької області,
Відділ освіти Рожнятівської райдержадміністрації,
Відділ освіти Димитровської міської ради Донецької області,
Відділ освіти Бродівської районної державної адміністрації,
Відділ освіти Оржицької райдержадміністрації,
Відділ освіти Кам'янець-Подільської районної державної адміністрації,
Відділ освіти Золотоніської райдержадміністрації,
"Відділ освіти, молоді та спорту Розівської районної державної адміністрації Запорізької області",
"Відділ освіти, молоді та спорту Бериславської райдержадміністрації",
Управління освіти Рівненського міськвиконкому,
Відділ освіти Бершадської районної державної адміністрації,
Відділ освіти Волноваської районної державної адміністрації Донецької області,
Відділ освіти Галицького району управління освіти департаменту гуманітарної політики Львівської міської ради,
Відділ освіти Обухівської райдержадміністрації,https://opendatabot.ua/c/04054725
Відділ освіти Бучацької районної державної адміністрації,https://opendatabot.ua/c/02145932
Відділ освіти Барської районної державної адміністрації,https://opendatabot.ua/c/02141288
Відділ освіти Машівської райдержадміністрації,https://opendatabot.ua/c/02145599
Відділ освіти Сватівської районної державної адміністрації Луганської області,https://opendatabot.ua/c/02142106
Управління освіти виконавчого комітету Обухівської міської ради,https://opendatabot.ua/c/37361483
