eoname,url
"Відділ освіти, культури, сім'ї, молоді та спорту виконавчого комітету Ситковецької селищної ради Немирівського району Вінницької області",
"Відділ освіти, культури, молоді та спорту Тернівської сільської ради Смілянського району Черкаської області",
"Управління освіти, культури, сім'ї, молоді та спорту Великоновосілківської СР",
Відділ освіти Новогуйвинської селищної ради Житомирського району Житомирської області,
"Відділ освіти, культури, молоді та спорту Якимівської селищної ради Якимівського району Запорізької області",https://opendatabot.ua/c/41844274
"Відділ освіти, культури, туризму, молоді та спорту Новояричівської селищної ради",https://opendatabot.ua/c/43907236
"Відділ освіти, культури, молоді та спорту Теплицької селищної ради Вінницької області",https://opendatabot.ua/c/44094501
"Відділ освіти, культури, молоді та спорту виконавчого комітету Грушівської сільської ради Дніпропетровської області",https://opendatabot.ua/c/43915163
Соціально-гуманітарний відділ Миропільської селищної ради Житомирського району Житомирської області,https://opendatabot.ua/c/04345204
Петрівська сільська рада,https://opendatabot.ua/c/04359620
"Відділ освіти, молоді і спорту виконавчого комітету Перемишлянської міської ради Львівської області",https://opendatabot.ua/c/43909811
Відділ освіти Клесівської селищної ради Сарненського району Рівненської області,https://opendatabot.ua/c/44655044
"Відділ освіти, культури, молоді та спорту Чумаківської сільської ради",https://opendatabot.ua/c/42672581
"Відділ освіти, культури, молоді та спорту Олександрівської селищної ради Вознесенського району Миколаївської області",https://opendatabot.ua/c/44155417
Департамент гуманітарної політики Вінницької обласної державної адміністрації,
"Відділ освіти, культури, молоді та спорту Вишнівської селищної ради Дніпропетровської області",
"Відділ освіти, культури, молоді та спорту Ладижинської сільської ради",
Привільненська сільська рада,
"Відділ освіти, культури, молоді та спорту виконавчого комітету Верхньорогачицької селищної ради",
"Відділ освіти, культури, молоді та спорту виконкому Могилівської сільської ради",
"Відділ освіти, молоді та спорту, культури, туризму та зовнішніх зв'язків Полянської сільської ради Мукачівського району Закарпатської області",
Гуманітарний відділ Павлівської сільської ради Володимир-Волинського району району Волинської області,
Гладковицька сільська рада Коростенського району Житомирської області,
"Відділ освіти, культури, молоді та спорту Миколаївської сільської ради Дніпровського району Дніпропетровської області",
"Відділ освіти, молоді, спорту, сім'ї, культури та охорони здоров'я виконавчого комітету Михайлівської сільської ради",
"Управління освіти, культури, молоді та спорту Дергачівської міської ради",
Відділ освіти Білолуцької селищної ради,
Відділ освіти Безлюдівської селищної ради,
"Відділ освіти, молоді, спорту, культури та туризму Новомар’ївської сільської ради Вознесенського району Миколаївської області",https://opendatabot.ua/c/43912775
Відділ освіти виконавчого комітету Мошнівської сільської ради,https://opendatabot.ua/c/44004706
ВІДДІЛ ОСВІТИ КРАСНОКУТСЬКОЇ СЕЛИЩНОЇ РАДИ БОГОДУХІВСЬКОГО РАЙОНУ ХАРКІВСЬКОЇ ОБЛАСТІ,https://opendatabot.ua/c/44131710
Відділ освіти Глевахівської селищної ради,https://opendatabot.ua/c/44080284
"Відділ освіти, культури та спорту Потіївської сільської ради Житомирського району Житомирської області",https://opendatabot.ua/c/43257766
"Відділ освіти, молоді та спорту виконавчого комітету Маловисківської міської ради Кіровоградської області",https://opendatabot.ua/c/40210751
Відділ освіти виконавчого комітету Біловодської селищної ради Луганської області,https://opendatabot.ua/c/41845351
Смідинська сільська рада Ковельського району Волинської області,https://opendatabot.ua/c/04332880
"Відділ освіти, молоді та спорту, культури та туризму Берездівської сільської ради Шепетівського району Хмельницької області",https://opendatabot.ua/c/43044486
"Відділ освіти, молоді та спорту, культури, туризму і соціального захисту населення Клішковецької сільської ради",https://opendatabot.ua/c/44215177
"Відділ освіти, культури,молоді та спорту виконавчого комітету Набутівської сільської ради",
Департамент освіти і науки Рівненської обласної державної адміністрації,
Відділ освіти Теплицької сільської ради Болградського району Одеської області,
Відділ освіти виконавчого комітету Золотоніської міської ради,
"Відділ освіти, молоді, спорту, культури і туризму Королівської селищної ради",
Управління освіти Новоодеської міської ради Миколаївської області,
Відділ освіти та культури Лука-Мелешківської сільської ради Вінницької області,
"Відділ освіти, молоді, спорту та культури Молочанської міської ради",
"Відділ освіти, культури, туризму, молоді та спорту Куньєвської сільської ради Ізюмського району Харківської області",
"Відділ освіти, культури та спорту Золочівської сільської ради",
Департамент освіти і науки Житомирської обласної державної адміністрації,
"Відділ освіти, культури, молоді та спорту Тягинської сільської ради",
Гуманітарний відділ Прилісненської сільської ради,
"Відділ освіти, молоді, спорту, культури, туризму та соціального захисту населення Чкаловської сільської ради",
"Відділ освіти, молоді , спорту, культури, туризму Грицівської селищної ради Шепетівського району Хмельницької області",https://opendatabot.ua/c/44062705
"Відділ освіти, культури, молоді та спорту Маломихайлівської сільської ради",https://opendatabot.ua/c/44178434
"Управління освіти, молоді та спорту Долинської міської ради",https://opendatabot.ua/c/44008915
Відділ освіти та у справах дітей Бородінської селищної ради,https://opendatabot.ua/c/44128289
Відділ освіти виконавчого комітету Новодмитрівської сільської ради,https://opendatabot.ua/c/43915561
Калинівська селищна громада,
"Відділ освіти, молоді та спорту, культури та туризму виконавчого комітету Первозванівської сільської ради",
"Відділ освіти, молоді та спорту Приютівської селищної ради Олександрійського району Кіровоградської області",
"Відділ освіти, молоді та спорту Маньківської селищної ради",
Відділ освіти Приморської міської ради Бердянського району Запорізької області,
Відділ освіти Чернігівської селищної ради Бердянського району Запорізької області,
Виконавчий комітет Раївської сільської ради,
Відділ освіти та спорту Бершадської міської ради Вінницької області,
"Відділ освіти, молоді та спорту, культури, туризму та зовнішніх зв'язків Ротмістрівської сільської ради",
"Відділ освіти, культури, туризму, молоді та спорту Радивилівської міської ради Дубенського району Рівненської області",
"Відділ освіти, молоді та спорту Чечельницької селищної ради Гайсинського району Вінницької області",
"Відділ освіти, молоді та спорту, культури і туризму Керецьківської сільської ради територіальної громади Хустського району Закарпатської області",
"Управління освіти, у справах сім’ї, молоді та спорту Олешківської міської ради",
Виконавчий комітет Будищенської сільської ради,
Відділ освіти виконкому Покровської районної в місті ради,https://opendatabot.ua/c/02142282
Відділ освіти Миколаївської селищної ради Сумського району Сумської області,https://opendatabot.ua/c/41104218
"Управління освіти, культури, молоді та спорту Миколаївської міської ради Стрийського району Львівської області",https://opendatabot.ua/c/44006059
Боремельська сільська рада,https://opendatabot.ua/c/04386580
Відділ освіти виконавчого комітету Ковалівської сільської ради Білоцерківського району Київської області,https://opendatabot.ua/c/43120582
"Відділ освіти, культури, молоді та спорту виконавчого комітету Сухоєланецької сільської ради",https://opendatabot.ua/c/44235963
Відділ освіти Орининської сільської ради Кам'янець-Подільського району Хмельницької області,https://opendatabot.ua/c/33483222
"Відділ освіти, молоді та спорту Тарутинської селищної ради Одеської області",https://opendatabot.ua/c/44118490
"Відділ освіти, культури та спорту виконавчого комітету Осипенківської сільської ради Бердянського району Запорізької області",https://opendatabot.ua/c/04352026
"Сектор освіти, культури, молоді, спорту та гуманітарних питань Чижівської сільської ради Новоград-Волинського району Житомирської області",https://opendatabot.ua/c/44668467
"Відділ освіти, молоді, культури, спорту, соціального захисту, охорони здоров`я, надання адміністративних та соціальних послуг (гуманітарний відділ) виконавчого комітету Зорівської сільської ради",
"Відділ освіти, культури, молоді та спорту Криничанської селищної ради",
"Відділ освіти, культури, молоді та спорту Літинської селищної ради Вінницької області",
Відділ освіти та культури Нововасилівської селищної ради Мелітопольського району Запорізької області,
"Відділ освіти,культури,молоді та спорту Сахновецької сільської ради Хмельницької області",
"Відділ освіти, культури, туризму, сім’ї, молоді та спорту Піщівської сільської ради Новоград-Волинського району Житомирської області",
"Відділ освіти, культури, молоді та спорту Овідіопольської селищної ради Одеської області",
Відділ освіти Слов'янської міської військово-цивільної адміністрації Краматорського району Донецької області,
Відділ освіти Надлацької сільської ради,
Управління освіти і науки Кам'янець-Подільської міської ради Хмельницької області,
"Відділ освіти, фізичної культури та спорту Благовіщенської сільської ради",
Управління гуманітарного розвитку Української міської ради,
"Управління освіти, культури, молоді та спорту Липовецької міської ради Вінницького району Вінницької області",
Відділ освіти Краснопільської селищної ради Сумського району Сумської області,https://opendatabot.ua/c/41104218
Управління освіти Курахівської міської ради,https://opendatabot.ua/c/44141514
"Відділ освіти, культури, туризму, сім'ї, молоді та спорту Киселівської сільської ради Чернігівського району Чернігівської області",https://opendatabot.ua/c/44552214
Відділ освіти Дружбівської міської ради Сумської області,https://opendatabot.ua/c/41071240
"Відділ освіти, культури, молоді, спорту та туризму Олексіївської сільської ради",https://opendatabot.ua/c/43438705
"Відділ освіти, молоді та спорту виконавчого комітету Білопільської міської ради Сумської області",https://opendatabot.ua/c/43385491
Відділ освіти Оноківської сільської ради Ужгородського району Закарпатської області,https://opendatabot.ua/c/04350168
"Управління освіти, культури, туризму, молоді та спорту Тростянецької селищної ради Вінницької області",https://opendatabot.ua/c/42733502
"Відділ освіти, культури та спорту Плужненської сільської ради Хмельницької області",https://opendatabot.ua/c/44542617
Відділ освіти Богодухівської міської ради Харківської області,
"Відділ освіти, культури,молоді та спорту виконавчого комітету Лютенської сільської ради",
Управління освіти Чугуївської міської ради,
"Відділ освіти, культури, молоді та спорту Миролюбненської сілької ради Хмельницького району Хмельницької області",
Відділ освіти Спаської сільської ради Калуського району Івано-Франківської області,
"Відділ освіти, культури, туризму, молоді та спорту Андріївської сільської ради Краматорського району Донецької області",
Відділ освіти Попільнянської селищної ради Житомирського району Житомирської області,
Відділ освіти Боромлянської сільської ради,
"Відділ освіти, молоді та спорту Баштечківської сільської ради",
"Відділ освіти, молоді, спорту, туризму, культури та релігії Бишівської сільської ради",
Відділ освіти Згурівської селищної ради Броварського району,
Гуманітарний відділ Ладанської селищної ради,
Відділ освіти Височанської селищної ради,
Відділ освіти Високопільської селищної ради,
Відділ з гуманітарних питань Виконавчого комітету Іларіонівської селищної ради,
Відділ освіти Підгородненської міської ради Дніпровського району Дніпропетровської області,https://opendatabot.ua/c/44084980
"Відділ освіти, культури, молодіжної політики, спорту та туризму Старомаяківської сільської ради",
Гуманітарний відділ Червоненської селищної ради Бердичівського району Житомирської області,
Відділ освіти Ралівської ТГ,
"Відділ освіти, культури, молоді та спорту Щастинської міської військово-цивільної адміністрації Щастинського району Луганської області",
Відділ освіти Матвіївської сільської ради,
Відділ освіти Мирненської селищної військово-цивільної адміністрації Волноваського району Донецької області,
"Відділ освіти, культури, молоді та спорту Сахновщинської селищної ради Красноградського району Харківської області",
"Відділ освіти, культури, молоді та спорту Новоборівської селищної ради Житомирського району Житомирської області",
"Відділ освіти, культури, молоді та спорту Брошнів-Осадської селищної ради",
"Відділ освіти, культури, туризму, молоді та спорту Яришівської сільської ради Вінницької області",
Відділ освіти Сквирської міської ради,
Відділ освіти виконавчого комітету Оржицької селищної ради,
Заболоттівська селищна рада Ковельського району Волинської області,
"Відділ освіти, молоді та спорту Степанецької сільської ради",
"Відділ освіти, молоді та спорту, культури, туризму Нижньовербізької сільської ради		",
Відділ освіти Рокитнянської селищної ради,https://opendatabot.ua/c/44118312
Управління освіти і науки Сумської міської ради Сумської області,https://opendatabot.ua/c/02147894
Управління освіти Шепетівської міської ради Хмельницької області,https://opendatabot.ua/c/02146943
Відділ освіти Магальської сільської ради,https://opendatabot.ua/c/45011122
"Відділ освіти, культури, молоді, туризму та спорту Вчорайшенської сільської ради Бердичівського району Житомирської області",https://opendatabot.ua/c/44226126
Управління освіти Васильківської міської ради,https://opendatabot.ua/c/05408349
Відділ освіти Володарської селищної ради,https://opendatabot.ua/c/43956533
Відділ освіти Сокільницької сільської ради Львівського району Львівської області,https://opendatabot.ua/c/43971432
"Відділ освіти, молоді та спорту Мостиської міської ради Львівської області",https://opendatabot.ua/c/41064044
"Відділ освіти, культури, сім'ї, молоді та спорту Кароліно-Бугазької сільської ради Білгород-Дністровського району Одеської області",https://opendatabot.ua/c/44086967
"Відділ освіти, культури, молоді та спорту Мирненської селищної ради",https://opendatabot.ua/c/41128511
"Відділ освіти, культури, соціального захисту та охорони здоров'я Поморянської селищної ради Золочівського району Львівської області",https://opendatabot.ua/c/43930527
Відділ освіти Саранчуківської сільської ради,https://opendatabot.ua/c/42406274
"Відділ освіти, культури, молоді та спорту Барашівської сільської ради Новоград-Волинського району Житомирської області",https://opendatabot.ua/c/02143117
"Відділ освіти, культури, молодіжної політики та спорту Тлумацької міської ради Івано-Франківського району Івано-Франківської області """,https://opendatabot.ua/c/41284065
"Відділ освіти, культури та туризму, сім'ї, молоді та спорту Судововишнянської міської ради Львівської області",https://opendatabot.ua/c/41097536
Гуманітарне управління Городоцької міської ради Львівської області,https://opendatabot.ua/c/44101707
Відділ освіти Великоберезовицької селищної ради,https://opendatabot.ua/c/43954548
Сектор освіти Вільшанської селищної ради,https://opendatabot.ua/c/44070009
Відділ освіти Слобожанської селищної ради Чугуївського району Харківської області,https://opendatabot.ua/c/43956241
Відділ освіти Понінківської селищної ради Полонського району Хмельницької області,
"Відділ освіти , культури, сім'ї, молоді і спорту Хоростківської міської ради",
"Відділ освіти, молоді та спорту Гайворонської міської ради",
"Управління освіти, культури, молоді, туризму та спорту Бериславської міської ради",
"Відділ освіти, культури, молоді та спорту Дмитрушківської сільської ради",
"Відділ освіти, культури, сім'ї, молоді та спорту Крутівської сільської ради Ніжинського району Чернігівської області",
"Відділ освіти, молоді та спорту виконавчого апарату Березівської сільської ради Житомирського району Житомирської області",
"Відділ освіти, культури, молоді та спорту Петро-Михайлівської сільської ради",
Гуманітарний відділ виконавчого комітету Миронівської міської ради Обухівського району Київської області,
"Відділ освіти, культури, молоді і спорту виконавчого комітету Березняківської сільської ради",
"Відділ освіти, культури, молоді та спорту Бабинської сільської ради Рівненської області",
"Відділ освіти, сім’ї, молоді, спорту та культури Колочавської сільської ради Хустського району Закарпатської області",
Відділ освіти Колківської селищної ради Волинської області,
Управління з гуманітарних питань виконавчого комітету Володимир-Волинської міської ради,https://opendatabot.ua/c/44573674
Відділ освіти Світлодарської міської військово-цивільної адміністрації Бахмутського району Донецької області,https://opendatabot.ua/c/43978045
"Відділ освіти, культури, молоді та спорту Суботцівської сільської ради Кропивницького району Кіровоградської області",https://opendatabot.ua/c/44126035
"Відділ освіти, культури, молоді та спорту Петропавлівської сільської ради",https://opendatabot.ua/c/44121723
"Відділу освіти, культури, спорту та туризму Новоборисівської сільської ради",https://opendatabot.ua/c/43917160
"Гуманітарний відділ (освіти, культури, молоді, фізичної культури та спорту) Шевченківської селищної ради",https://opendatabot.ua/c/44031148
"Відділ освіти, культури, молоді та спорту Поляницької сільської ради",https://opendatabot.ua/c/44047336
"Відділ освіти, культури, молоді та спорту Васильківської селищної ради Синельниківського району Дніпропетровської області",https://opendatabot.ua/c/41495393
"Відділ освіти, молоді та спорту Шалигинської селищної ради Шосткинського району Сумської області",https://opendatabot.ua/c/41065771
"Відділ освіти, культури, молоді, спорту та туризму Станіславської сільської ради",https://opendatabot.ua/c/44118092
"Відділ освіти, культури, молоді, спорту та туризму Нерубайської сільської ради Біляївського району Одеської області",
Відділ освіти Бучацької міської ради,
"Відділ освіти, культури та спорту виконавчого комітету Усть-Путильської сільської ради",
"Відділ освіти, молоді та спорту виконавчого комітету Лугинської селищної ради Коростенського району Житомирської області",
"Відділ освіти, культури, молоді та спорту Здовбицької сільської ради",
"Відділ освіти , культури, молоді та спорту Козівської сільської ради Стрийського району Львівської області",
Відділ освіти Ладижинської міської ради Вінницької області,
"Відділ освіти, молоді та спорту Любашівської селищної ради",
"Відділ освіти, молоді та спорту Водянської сільської ради Василівського району Запорізької області",
"Відділ освіти, молоді та спорту виконавчого комітету Білоцерківської сільської ради Миргородського району",
Відділ освіти Сватівської міської ради Луганської області,
Управління освіти Фонтанської сільської ради Одеського району Одеської області,
"Відділ освіти, сім'ї, молоді та спорту Коровинської сільської ради Роменського району Сумської області",
Відділ освіти Татарбунарської міської ради Одеської області,
"Управління освіти, культури, молоді та спорту Пасічнянської сільської ради територіальної громади Надвірнянського району Івано-Франківської області",https://opendatabot.ua/c/44067043
"Відділ освіти, культури та спорту виконавчого комітету Чоповицької селищної ради Коростенського району Житомирської області",https://opendatabot.ua/c/44011425
Гуманітарний відділ Вишнівської сільської ради Ковельського району Волинської області,
Відділ освіти Мангушської селищної ради,
Відділ освіти Балаклійської міської ради Харківської області,
Відділ гуманітарної політики Брагинівської сільської ради Синельниківського району Дніпропетровської області,
Відділ освіти Верхнянської сільської ради Калуського району Івано-Франківської області,
"Сектор з питань освіти, культури, молоді та спорту Батівської селищної ради Берегівського району Закарпатської області",
"Відділ освіти, молоді та спорту Дмитрівської сільської ради Кропивницького району Кіровоградської області",
"Відділ освіти, культури, молоді та спорту Шульгинської сільської ради Старобільського району",
"Відділ освіти, молоді та спорту Маневицької селищної ради",
Відділ освіти та гуманітарного розвитку Чорнобаївської сільської ради,
Управління освіти Марганецької міської ради Дніпропетровської області,
"Відділ освіти, культури, сім’ї, молоді і спорту Старомлинівської сільської ради",
"Відділ освіти, культурі, молоді та спорту Обухівської селищної ради Дніпровського району Дніпропетровської області",
"Відділ освіти, молоді та спорту Радомишльської міської ради Житомирського району Житомирської області",
Відділ освіти Терешківської сільської ради Полтавського району Полтавської області,https://opendatabot.ua/c/44206927
Відділ освіти Кролевецької міської ради Сумської області,https://opendatabot.ua/c/41761455
Відділ освіти Ольгинської селищної військово-цивільної адміністрації Волноваського району Донецької області,https://opendatabot.ua/c/44124436
Відділ освіти Глухівської міської ради Сумської області,https://opendatabot.ua/c/02141012
"Відділ освіти, молоді та спорту Крижопільської селищної ради Вінницької області",https://opendatabot.ua/c/44094810
Відділ освіти Чорнобаївської селищної ради,https://opendatabot.ua/c/43922249
"Відділ освіти, культури та туризму Великомихайлівської селищної ради Роздільнянського району Одеської області",https://opendatabot.ua/c/40708982
"Відділ освіти, культури, молоді та спорту Широківської сільської військово-цивільної адміністрації",https://opendatabot.ua/c/43959771
"Управління освіти, культури, молоді та спорту Апостолівської міської ради",https://opendatabot.ua/c/40220031
Виконавчий комітет Білозірської сільської ради,https://opendatabot.ua/c/04407744
Управління освіти Олександрійської міської ради,
"Відділ освіти, молоді, спорту, культури і туризму Грабовецько-Дулібівської сільської ради Стрийського району Львівської області",
"Відділ освіти, культури, туризму, молоді та спорту виконавчого комітету Рівнянської сільської ради",
"Відділ освіти, культури і туризму, молоді та спорту Бочечківської сільської ради Конотопського району Сумської області",
"Сектор освіти, культури, молоді та спорту Ставчанської сільської ради",
"Відділ освіти, культури, туризму, молоді та спорту Боринської селищної ради",
Відділ освіти і спорту Шаргородської міської ради Вінницької області,
"Відділ освіти, культури та спорту Воздвижівської сільської ради",
Відділ освіти Куликівської селищної ради Львівського району Львівської області,
"Відділ освіти, молоді та спорту, у справах дітей та культури Чинадіївської селищної ради",
"Відділ освіти, культури, молоді та спорту Заслучненської сільської ради Хмельницького району Хмельницької області",
Соціально-гуманітарний відділ Вишевицької сільської ради Житомирського району Житомирської області,
"Відділ освіти,молоді та спорту Ізяславської міської ради",
"Управління освіти, молоді та спорту Хмільницької міської ради Вінницької області",
"Відділ освіти, молоді та спорту Ємільчинської селищної ради Новоград-Волинського району Житомирської області",https://opendatabot.ua/c/41860521
"Сектор освіти, захисту прав дітей, культури, молоді та спорту Вовковинецької селищної територіальної громади Хмельницької області",https://opendatabot.ua/c/02228144
Відділ соціально-культурної сфери Великолепетиської селищної рады,https://opendatabot.ua/c/44118218
"Відділ освіти, культури, туризму, молоді та спорту Рава-Руської міської ради Львівського району Львівської області",https://opendatabot.ua/c/44905575
Яблунівська сільська рада,https://opendatabot.ua/c/04358632
"Відділ освіти, культури, молоді та спорту, соціального захисту населення Новомиколаївської сільської ради",https://opendatabot.ua/c/43915163
"Відділ освіти, молоді та спорту Медвинської сільської ради Білоцерківського району Київської області",https://opendatabot.ua/c/43913543
"Управління освіти, культури, молоді та спорту Зазимської сільської ради Броварського району Київської області",https://opendatabot.ua/c/44271446
"Відділ освіти, культури, молоді, спорту Берегометської селищної ради Вижницького району Чернівецької області",
Відділ освіти Донецької селищної ради Ізюмського району Харківської області,
Відділ освіти Червоноградської міської ради Львівської області,
Відділ освіти та гуманітарної політики Підкамінської селищної ради,
"Відділ освіти, молоді, спорту та зовнішніх зв'язків Пісківської селищної ради",
"Відділ освіти, культури, туризму, молоді та спорту Староушицької ради Кам’янець-Подільського району Хмельницької області",
Відділ освіти Гайсинської міської ради Вінницької області,
"Відділ освіти, культури, молоді та спорту виконавчого комітету Скороходівської селищної ради Полтавського району Полтавської області",
"Відділ освіти, молоді та спорту Коломацької селищної ради",
"Віідділ освіти, культури, молоді та спорту Кушугумської селищної ради Запорізького району Запорізької області",https://opendatabot.ua/c/44112394
"Департамент освіти, науки, молоді та спорту Хмельницької обласної державної адміністрації",https://opendatabot.ua/c/38482265
"Відділ освіти, культури, молоді та спорту Зеленопідської сільської ради територіальної громади Херсонської області",https://opendatabot.ua/c/43854991
"Відділ освіти, культури, туризму, молоді та спорту Софіївської сільської ради Бердянського району Запорізької області",https://opendatabot.ua/c/44038164
Відділ освіти виконавчого комітету Гребінківської міської ради Полтавської області,https://opendatabot.ua/c/41844913
"Відділ освіти, охорони здоров'я, культури, туризму та зовнішніх зв'язків Більшівцівської селищної ради Івано-Франківської області",https://opendatabot.ua/c/43952472
"Відділ освіти, культури, молоді та спорту Буської міської ради",https://opendatabot.ua/c/39685014
Відділ освіти Вовчанської міської ради,https://opendatabot.ua/c/43940048
"Відділ освіти, молоді та спорту Нехворощанської сільської ради Полтавського району Полтавської області",https://opendatabot.ua/c/43724001
Відділ з гуманітарних питань Овруцької міської ради Коростенського району Житомирської області,https://opendatabot.ua/c/41818470
"Відділ освіти, культури, молоді та спорту Понорницької селищної ради Новгород-Сіверського району Чернігівської області",
