eoname,KOATUU_2020,year,id,EDRPOU,KOATUU_2020_reg
"Заклад ""Верхівська загальноосвітня школа I-III ступенів""",0520280401,"[2016, 2017]",закладверхвськазагальноосвтняшкола3ступ,,05
"Заклад ""Войнашівська загальноосвітня школа I-III ступенів",0520280601,"[2016, 2017]",закладвойнашвськазагальноосвтняшкола3ступ,,05
"Заклад ""Гулівська загальноосвітня школа I-III ступенів""",0520281401,[2016],закладгулвськазагальноосвтняшкола3ступ,,05
"Заклад ""Каришківська загальноосвітня школа I-III ступенів""",0520282003,"[2016, 2017]",закладкаришквськазагальноосвтняшкола3ступ,,05
Каришківська загальноосвітня школа I-III ступенів,0520282003,"[2018, 2019, 2020, 2021]",каришквськазагальноосвтняшкола3ступ,,05
"Заклад ""Комаровецька загальноосвітня школа I-III ступенів""",0520282203,[2016],закладкомаровецьказагальноосвтняшкола3ступ,,05
Комаровецька загальноосвітня школа I-III ступенів,0520282203,[2018],комаровецьказагальноосвтняшкола3ступ,,05
Кузьминецький професійний аграрний ліцей Вінницької області,0520282403,"[2018, 2019, 2020, 2021]",кузьминецькийпрофесйнийаграрнийлцейвницькообл,,05
"Заклад ""Луко-Барська загальноосвітня школа I-III ступенів""",0520282803,[2016],закладлукобарськазагальноосвтняшкола3ступ,,05
"Заклад ""Луко-Барський навчально-виховний комплекс "" Загальноосвітня школа I-III ступенів - дошкільний навчальний заклад""",0520282803,[2017],закладлукобарськийнавчальновиховнийкомплексзагальноосвтняшкола3ступдошкльнийнавчальнийзаклад,,05
Луко-Барський заклад загальної середньої освіти I-III ступенів - заклад дошкільної освіти,0520282803,[2022],лукобарськийзакладзагальносередньоосвти3ступзакладдошкльноосвти,,05
"Луко-Барський навчально-виховний комплекс "" Загальноосвітня школа I-III ступенів - дошкільний навчальний заклад""",0520282803,"[2018, 2019]",лукобарськийнавчальновиховнийкомплексзагальноосвтняшкола3ступдошкльнийнавчальнийзаклад,,05
"Луко-Барський навчально-виховний комплекс ""Загальноосвітня школа I-III ступенів - дошкільний навчальний заклад""",0520282803,"[2020, 2021]",лукобарськийнавчальновиховнийкомплексзагальноосвтняшкола3ступдошкльнийнавчальнийзаклад,,05
"Заклад ""Маньковецька загальноосвітня школа I-III ступенів""",0520283203,[2016],закладманьковецьказагальноосвтняшкола3ступ,,05
"Заклад ""Митківська загальноосвітня школа I-III ступенів""",0520283603,"[2016, 2017]",закладмитквськазагальноосвтняшкола3ступ,,05
Митківська загальноосвітня школа I-III ступенів,0520283603,[2018],митквськазагальноосвтняшкола3ступ,,05
"Заклад ""Поповецька загальноосвітня школа I-III ступенів""",0520284403,"[2016, 2017]",закладпоповецьказагальноосвтняшкола3ступ,,05
Поповецький заклад загальної середньої освіти I-III ступенів,0520284403,[2022],поповецькийзакладзагальносередньоосвти3ступ,,05
"Заклад ""Ялтушківська загальноосвітня школа I-III ступенів""",0520286503,"[2016, 2017]",закладялтушквськазагальноосвтняшкола3ступ,,05
Ялтушківська загальноосвітня школа I-III ступенів,0520286503,[2018],ялтушквськазагальноосвтняшкола3ступ,,05
