New,Old,areaname,regname,year
с.Татаринці,с.Вишневе,Лановецький район,Тернопільська область,1990
с.Татарів,с.Кремінці,м.Яремче,Івано-Франківська область,1993
с.Теково,с.Текове,Виноградівський район,Закарпатська область,1995
с.Теляж,с.Ланкове,Сокальський район,Львівська область,1995
с.Тереблече,с.Порубне,Глибоцький район,Чернівецька область,1995
с.Тернавка,с.Тернівка,Сколівський район,Львівська область,1989
с.Терново,с.Тернове,Тячівський район,Закарпатська область,1995
с.Тийглаш,с.Цеглівка,Ужгородський район,Закарпатська область,1995
с.Тисаагтелек,с.Тисянка,Ужгородський район,Закарпатська область,1995
с.Тисаашвань,с.Мінеральне,Ужгородський район,Закарпатська область,1991
с.Тисалово,с.Тисалове,Тячівський район,Закарпатська область,1995
с.Тисауйфалу,с.Тисауйфал,Ужгородський район,Закарпатська область,1990
с.Тисобикень,с.Бобове,Виноградівський район,Закарпатська область,2000
с.Тишівниця,с.Тишивниця,Сколівський район,Львівська область,1989
с.Топільниця,с.Топольниця,Старосамбірський район,Львівська область,1989
с.Топчино,с.Топчине,Тячівський район,Закарпатська область,1995
с-ще Травневе,с-ще Жданове,м.Кривий Ріг,Дніпропетровська область,1991
с.Трибухівці,с.Дружба,Бучацький район,Тернопільська область,1992
с.Трійця,с.Зоряне,Борщівський район,Тернопільська область,1992
с.Тудорів,с.Федорівка,Гусятинський район,Тернопільська область,2002
с.Тудорковичі,с.Федорівці,Сокальський район,Львівська область,1991
с.Угерсько,с.Яблунівка,Стрийський район,Львівська область,1993
с.Угорськ,с.Підгірське,Шумський район,Тернопільська область,1991
с.Угринів,с.Дібрівка,Сокальський район,Львівська область,1993
с.Ульвівок,с.Вільхове,Сокальський район,Львівська область,1995
с.Унів,с.Міжгір'я,Перемишлянський район,Львівська область,2003
с.Урзуф,с.Приморське,Мангушський район,Донецька область,1989
с.Фанчиково,с.Фанчикове,Виноградівський район,Закарпатська область,1995
с.Фертешолмаш,с.Заболоття,Виноградівський район,Закарпатська область,2000
с.Фисуни,с.Фісуни,Полтавський район,Полтавська область,1995
с.Фитьків,с.Фітьків,Надвірнянський район,Івано-Франківська область,2008
с.Форголань,с.Дівичне,Виноградівський район,Закарпатська область,2000
с.Форнош,с.Ліскове,Мукачівський район,Закарпатська область,1995
с.Фрага,с.Ягодівка,Рогатинський район,Івано-Франківська область,1993
с.Харсіки,с.Харсики,Чорнухинський район,Полтавська область,1995
с.Хащованя,с.Хащоване,Сколівський район,Львівська область,1989
с.Хвалибога,с.Руднівка,Городенківський район,Івано-Франківська область,1993
с.Хилін,с.Хілін,Дубровицький район,Рівненська область,2009
с.Хітар,с.Хитар,Сколівський район,Львівська область,1989
с.Хляни,с.Хлани,Яворівський район,Львівська область,1989
с.Хмільно,с.Хмільне,Радехівський район,Львівська область,1989
с.Холодновідка,с.Холодноводківка,Пустомитівський район,Львівська область,1989
с.Хоробрів,с.Правда,Сокальський район,Львівська область,1993
с.Хорол,с.Добринівка,Недригайлівський район,Сумська область,1992
с.Хренів,с.Хрінів,Кам'янка-Бузький район,Львівська область,1989
с.Худльово,с.Худлове,Ужгородський район,Закарпатська область,1992
с.Цвіклівці Другі,с.Цвіклівці,Кам'янець-Подільський район,Хмельницька область,1987
с.Цвіклівці Перші,с.Цвіклівці,Кам'янець-Подільський район,Хмельницька область,1987
с.Цебрів,с.Цебрівка,Сокальський район,Львівська область,1989
с.Цигани,с.Рудка,Борщівський район,Тернопільська область,1992
с.Цитуля,с.Питуля,Жовківський район,Львівська область,1990
с.Цінева,с.Ценява,Рожнятівський район,Івано-Франківська область,1990
с.Цуцулин,с.Ганнівка,Косівський район,Івано-Франківська область,1993
с.Чекно,с.Межиріччя,Млинівський район,Рівненська область,2014
с.Червеньово,с.Червеневе,Мукачівський район,Закарпатська область,1995
с.Червоносілля,с.Червонопілля,Петрівський район,Кіровоградська область,1992
с.Чермалик,с.Заможне,Бойківський район,Донецька область,1999
с.Черна,с.Чорна,Виноградівський район,Закарпатська область,1995
с.Чертеж,с.Чертіж,Ужгородський район,Закарпатська область,1992
с.Чесний Хрест,с.Світанок,Володимир-Волинський район,Волинська область,2004
с.Четфалва,с.Четове,Берегівський район,Закарпатська область,1995
смт Чинадійово,смт Чинадієве,Мукачівський район,Закарпатська область,1995
с.Чистопілля,с.Честопілля,Жовківський район,Львівська область,1990
с.Чішки,с.Чишків,Буський район,Львівська область,1990
с.Чортовець,с.Назаренкове,Городенківський район,Івано-Франківська область,1993
с.Чудей,с.Межиріччя,Сторожинецький район,Чернівецька область,1995
с.Чумальово,с.Чумалеве,Тячівський район,Закарпатська область,1995
с.Шайноги,с.Шийноги,Радехівський район,Львівська область,1989
с.Шапіхи,с.Шапихи,Козелецький район,Чернігівська область,2009
с.Швейків,с.Трудолюбівка,Монастириський район,Тернопільська область,1991
с.Шевченко,с.Шевченка,Славутський район,Хмельницька область,2015
с.Шенборн,с.Нове Село,Мукачівський район,Закарпатська область,1995
с.Шкадрети,с.Шкадретів,Лохвицький район,Полтавська область,1995
с.Шляхтинці,с.Гніздичка,Тернопільський район,Тернопільська область,1991
с.Шолойки,с.Шалойки,Козелецький район,Чернігівська область,2009
с.Шоломинь,с.Шоломия,Пустомитівський район,Львівська область,1990
