regname,eotype,areaname,eoname,eolevel,eosize,teachstuff,nonteachstuff,teachstuffretage,pupils,classes,opex,opexplan,hub,budgetcode,ownership,DISO,EDRPOU,year,KOATUU_2020_reg,EDRPOU_checked,id
Вінницька область,село,Уланівська сільська ТГ,"Коммунальний заклад ""Заклад загальної середнбої освіти І-ІІІ ступенів села Маркуші"" Хмільницької районної ради",I-III,,17,11,2,84,9,3310.7,4446.4,,02569000000,комунальна,8292,26223813,2020,05,26223813,коммунальнийзакладзакладзагальнасереднбаосвти3ступсмаркушхмльницькао
Вінницька область,село,Чернівецька селищна ТГ,"Комунальний заклад ""Гонтівсьа загальноосвітня школа І - ІІІ ступенів Чернівецької районної ради Вінницької області""",I-III,,16,13,2,118,11,4489.2,5677.5,,02570000000,комунальна,7570,26242918,2020,05,26242918,гонтвсьазагальноосвтняшкола3ступчернвецькавницькаобл
Вінницька область,село,Шаргородська міська ТГ,"Плебанівська середня загальноосвітня школа І-ІІІ супенів_x000D_
Шаргородського району Вінницької області",I-III,,20,12,5,212,11,5470.2,6884.3,,02572000000,комунальна,9745,26229013,2020,05,26229013,плебанвськасереднязагальноосвтняшкола3супенвх000dвницькаобл
Вінницька область,село,Шаргородська міська ТГ,Руданська загальноосвітня школа І-ІІІ ступенів Шаргородського району Вінницької області,I-III,,17,12,4,105,11,4154.4,4548.9,,02572000000,комунальна,8416,26228999,2020,05,26228999,руданськазагальноосвтняшкола3ступвницькаобл
Вінницька область,село,Шаргородська міська ТГ,Козлівська середня загальноосвітня школа І-ІІІ ступенів Шаргородського району Вінницької області,I-III,,19,13,3,93,11,4630.6,5493.4,,02572000000,комунальна,6106,20098567,2020,05,20098567,козлвськасереднязагальноосвтняшкола3ступвницькаобл
Вінницька область,місто,Шаргородська міська ТГ,"Шаргородська районна гімназія_x000D_
Шаргородського району Вінницької області",I-III,,29,30,4,389,19,9759.7,12702.8,,02572000000,комунальна,6183,37337995,2020,05,37337995,шаргородськагмназях000dвницькаобл
Вінницька область,село,Ямпільська міська ТГ,"Опорний навчальний заклад ""Заклад загальної середньої освіти І-ІІІ ступенів с.Велика Кісниця Ямпільського району Вінницької області""_x000D_
",I-III,,54,52,15,367,28,14630.7,18946.4,опорна,02573000000,комунальна,10555,13323785,2020,05,13323785,опорнийнавчальнийзаклад3ступсвеликаксницявницькаоблх000
Вінницька область,місто,Ямпільська міська ТГ,"Опорний навчальний заклад ""Заклад загальної середньої освіти І-ІІІ ступенів №1 ім. Т. Шевченка м. Ямпіль Ямпільського району Вінницької області""",I-III,,63,35,12,550,31,16701,23496.7,опорна,02573000000,комунальна,7656,13326648,2020,05,13326648,опорнийнавчальнийзаклад3ступ1ментшевченкамямпльвницькаобл
Вінницька область,місто,Калинівська міська ТГ,"Комунальний заклад ""Калинівська зальноосвітня школа І-ІІІ ступенів №2-гімназія"" Вінницька область",I-III,,65,35,11,968,40,21297,20567.1,,02501000000,комунальна,5404,40385478,2020,05,21726646,калинвськазальноосвтняшкола3ступ2гмназявницькаобл
Вінницька область,місто,Вапнярська селищна ТГ,Вапнярська загальноосвітня школа І-ІІІ ступенів № 1 ім. І.Д. Черняховського Вапнярської селищної ради об'єднаної територіальної громади Томашпільського району Вінницької області,I-III,,33,21,9,483,22,9695.3,11445.579,,02504000000,комунальна,6938,26223275,2020,05,26223275,вапнярськазагальноосвтняшкола3ступ1мендчерняховськоговапнярськаобднанавницькаобл
