regname,eotype,areaname,eoname,eolevel,eosize,teachstuff,nonteachstuff,teachstuffretage,pupils,pupilswithpreschool,classes,opex,opexplan,hub,budgetcode,ownership,DISO,EDRPOU,year,KOATUU_2020_reg,EDRPOU_checked,id
Вінницька область,село,Хмільницький район,"НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС_x000D_
«ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІІ СТУПЕНІВ - ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД» С. ТОМАШПІЛЬ_x000D_
 ",I-III,,11,12,0,50,74,7,2716,2898,ні,2323200000,комунальна,8296,26223973,2019,05,26223973,навчальновиховнийкомплексх000dзагальноосвтняшкола3ступдошкльнийнавчальнийзакладстомашпльх000
Вінницька область,село,Хмільницький район,"Загальноосвітня школа І-ІІІ ступенів с. Лозна Хмільницької районної державної адміністрації , Вінницької області",I-III,,15,10,0,56,56,7,2730.4,2906.4,ні,2323200000,комунальна,22562,26223915,2019,05,26223915,загальноосвтняшкола3ступслознахмльницькадержавнаадмнстрацвницькаобл
Вінницька область,село,Хмільницький район,Загальноосвітня школа І-ІІІ ступенів село Великий Митник Хмільницький район Вінницька область,I-III,,21,11,3,166,166,11,3762.6,4140.3,ні,2323200000,комунальна,22654,25918704,2019,05,25918704,загальноосвтняшкола3ступсвеликиймитниквницькаобл
Вінницька область,село,Чечельницький район,Комунальний заклад «Стратіївський навчально-виховний комплекс І–ІІІ ступенів «загальноосвітній навчальний заклад — дошкільний навчальний заклад» Чечельницької районної ради Вінницької області,I-III,,20,18,0,83,111,11,3990.8,4339.9,ні,2325200000,комунальна,7327,26285678,2019,05,26285678,стратвськийнавчальновиховнийкомплекс3ступзагальноосвтнйнавчальнийзаклад—дошкльнийнавчальнийзакладчечельницькавницькаобл
Вінницька область,село,Шаргородський район,Руданська загальноосвітня школа І-ІІІ ступенів,I-III,,21,16,5,104,104,11,3943.004,4345.353,ні,2326200000,комунальна,8416,26228999,2019,05,26228999,руданськазагальноосвтняшкола3ступен
Вінницька область,місто,Калинівська міська ОТГ,"Комунальний заклад ""Калинівська зальноосвітня школа І-ІІІ ступенів №2-гімназія"" Вінницька область",I-III,,81,34,18,936,936,39,18676.954,20181.051,ні,2501000000,комунальна,5404,40385478,2019,05,21726646,калинвськазальноосвтняшкола3ступ2гмназявницькаобл
Вінницька область,село,Жданівська сільська ОТГ,"Комунальний заклад ""Загальноосвітня школа І-ІІІ ст. с. Жданівка Жданівської сільської ради, Хмільницького р-ну, Вінницької області""",I-III,,23,15,5,219,219,11,6898.8,6456.4,ні,2515000000,комунальна,8283,26224100,2019,05,26224100,загальноосвтняшкола3ступсжданвкажданвськахмльницькогорнувницькаобл
Вінницька область,село,Мурафська сільська ОТГ,Мурафська середня загальноосвітня школа І-ІІІ ступенів Мурафської сільської      ради Шаргородського району Вінницкої області,I-III,,36,24,2,340,340,19,10102.14469,11442.76,ні,2522000000,комунальна,6315,26229036,2019,05,26229036,мурафськасереднязагальноосвтняшкола3ступмурафськавницкаобл
Вінницька область,місто,Гніванська міська ОТГ,"Гніванська альтернативна середня загальноосвітня школа І-ІІІ ступенів №1 ім.А.С.Макаренка розвитку здібностей дитини м.Гнівань, Тиврівський район Вінницької області",I-III,,51,19,7,556,556,23,11476.5,12623.9,ні,2533000000,комунальна,8034,26242083,2019,05,26242083,гнванськаальтернативнасереднязагальноосвтняшкола3ступ1менасмакаренкарозвиткуздбностейдитинимгнваньвницькаобл
Вінницька область,місто,Вінницька міська ОТГ,"Комунальний заклад ""Загальноосвітня школа І-ІІІ ступенів №19 Вінницької міської ради""",I-III,,36,13,4,534,534,17,7445.639,8753.078,ні,2536000000,комунальна,8837,26235447,2019,05,26235447,загальноосвтняшкола3ступ19вницькао
Вінницька область,місто,Літинська селищна ОТГ,Літинська середня загальноосвітня школаІ-ІІІступенів №1,I-III,,51,23,8,629,629,26,11954.56,13095.153,ні,2541000000,комунальна,8003,02141383,2019,05,25500353,лтинськасереднязагальноосвтняшкола3ступ1
Волинська область,місто,місто Ковель,"Комунальний заклад ""навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступеня № 13 - колегіум"" міста Ковеля"" Ковельської міської ради Волинської області",I-III,,93,35,14,1319,1319,47,20534.3,23067.2,ні,3203100000,комунальна,17260,20146183,2019,07,20146183,навчальновиховнийкомплексзагальноосвтняшкола3ступ13колегуммковеляковельськаволинськаобл
